"Date","Price","Open","High","Low","Change %"
"May 30, 2018","24.9052","24.8600","24.9200","24.7085","0.18%"
"May 29, 2018","24.8600","24.7190","24.9740","24.6040","0.46%"
"May 28, 2018","24.7450","24.6000","24.7650","24.6000","0.92%"
"May 27, 2018","24.5190","24.5220","24.5380","24.5100","-0.33%"
"May 25, 2018","24.6000","24.5750","24.6200","24.5750","0.09%"
"May 24, 2018","24.5785","24.4745","24.6435","24.3735","0.43%"
"May 23, 2018","24.4735","24.2765","24.5275","24.2765","0.81%"
"May 22, 2018","24.2770","24.3230","24.4030","24.2230","-0.38%"
"May 21, 2018","24.3700","24.4000","24.4270","24.1220","-0.13%"
"May 18, 2018","24.4025","24.3095","24.6775","24.3095","0.37%"
"May 17, 2018","24.3120","24.2750","24.4700","24.0800","0.17%"
"May 16, 2018","24.2705","24.0465","24.2855","23.4955","0.86%"
"May 15, 2018","24.0635","24.9915","25.0415","23.0125","-3.77%"
"May 14, 2018","25.0070","23.0280","25.0550","23.0280","8.68%"
"May 11, 2018","23.0100","22.6780","23.9800","22.6600","1.37%"
"May 10, 2018","22.7000","22.5100","22.7300","22.4400","0.07%"
"May 09, 2018","22.6840","22.3700","22.7200","22.2200","0.93%"
"May 08, 2018","22.4750","22.0400","23.2250","22.0350","2.42%"
"May 07, 2018","21.9445","21.8535","21.9595","21.5495","0.41%"
"May 04, 2018","21.8545","21.5005","21.9805","21.0305","-1.80%"
"May 03, 2018","22.2550","21.1450","22.3050","21.1450","5.06%"
"May 02, 2018","21.1830","20.5370","21.3240","20.5370","3.17%"
"May 01, 2018","20.5315","20.5285","20.5435","20.5285","0.00%"
"Apr 30, 2018","20.5305","20.5305","20.5305","20.5275","0.00%"
"Apr 27, 2018","20.5295","20.5415","20.9365","20.5165","-0.09%"
"Apr 26, 2018","20.5490","20.2490","20.6190","20.1690","1.49%"
"Apr 25, 2018","20.2475","20.2505","20.2755","20.2475","-0.06%"
"Apr 24, 2018","20.2600","20.2350","20.2650","20.2050","0.04%"
"Apr 23, 2018","20.2510","20.1900","20.2770","20.1870","0.30%"
"Apr 20, 2018","20.1905","20.1565","20.2325","20.1375","0.16%"
"Apr 19, 2018","20.1585","20.1245","20.2195","20.0695","0.17%"
"Apr 18, 2018","20.1235","20.1725","20.1935","20.1185","-0.24%"
"Apr 17, 2018","20.1725","20.2155","20.2235","20.1685","-0.23%"
"Apr 16, 2018","20.2188","20.1923","20.2312","20.1913","0.04%"
"Apr 13, 2018","20.2100","20.2020","20.2390","20.1790","0.04%"
"Apr 12, 2018","20.2020","20.1590","20.2290","20.1190","0.22%"
"Apr 11, 2018","20.1585","20.1455","20.2035","20.1135","0.05%"
"Apr 10, 2018","20.1485","20.1835","20.2265","20.1265","-0.21%"
"Apr 09, 2018","20.1900","20.1595","20.2025","20.1595","0.07%"
"Apr 06, 2018","20.1765","20.1885","20.2495","20.1745","-0.07%"
"Apr 05, 2018","20.1910","20.1690","20.2110","20.1460","0.10%"
"Apr 04, 2018","20.1700","20.1670","20.2360","20.1670","-0.01%"
"Apr 03, 2018","20.1720","20.1320","20.2070","20.1320","0.19%"
"Apr 02, 2018","20.1340","20.1340","20.1340","20.1340","0.09%"
"Mar 30, 2018","20.1150","20.1150","20.1150","20.1050","-0.10%"
"Mar 29, 2018","20.1350","20.1450","20.1450","20.1350","-0.05%"
"Mar 28, 2018","20.1450","20.1450","20.1740","20.1050","-0.05%"
"Mar 27, 2018","20.1550","20.1830","20.2060","20.1550","-0.05%"
"Mar 26, 2018","20.1650","20.1650","20.1925","20.1250","-0.09%"
"Mar 23, 2018","20.1830","20.2435","20.2560","20.1830","-0.17%"
"Mar 22, 2018","20.2170","20.2570","20.2860","20.2170","-0.24%"
"Mar 21, 2018","20.2650","20.2340","20.2950","20.2250","0.08%"
"Mar 20, 2018","20.2490","20.2100","20.2700","20.1700","0.27%"
"Mar 19, 2018","20.1950","20.1850","20.2800","20.1750","0.05%"
"Mar 16, 2018","20.1850","20.3150","20.4100","20.1750","-0.64%"
"Mar 15, 2018","20.3150","20.2140","20.3150","20.2140","0.44%"
"Mar 14, 2018","20.2265","20.2045","20.2525","20.1225","0.12%"
"Mar 13, 2018","20.2030","20.1900","20.2210","20.1160","0.04%"
"Mar 12, 2018","20.1950","20.2250","20.2700","20.1050","-0.21%"
"Mar 09, 2018","20.2365","20.2665","20.3965","20.2165","-0.48%"
"Mar 08, 2018","20.3350","20.3050","20.4450","20.3050","-0.20%"
"Mar 07, 2018","20.3750","20.2950","20.4300","20.2550","0.31%"
"Mar 06, 2018","20.3125","20.2025","20.3375","20.0675","0.55%"
"Mar 05, 2018","20.2020","20.2750","20.4120","20.1470","-0.29%"
